id,num_layers,layer1,layer2,layer3,layer4,layer5,lr,batch_size,score
170,4,453,292,166,74,25,0.0009121656360699493,64,0.9598473172338082
179,5,332,251,190,56,48,0.00093734776531836,64,0.9577178786467364
175,4,464,292,116,88,33,0.0009405162983321197,64,0.9698563828429896
177,2,453,265,114,61,32,0.0009215023218819736,64,0.9267004714469218
178,4,439,202,132,84,33,0.0009944833640233772,64,0.9651005983823645
180,2,458,239,157,93,29,0.0009155772775965533,64,0.9137886081314863
186,2,310,214,175,58,41,0.0009508078364753744,64,0.9021506498957044
188,3,327,271,145,60,28,0.0009776854433421632,64,0.9589924334668345
176,5,437,250,138,64,45,0.0009302671444036983,64,0.9633865773275887
184,5,307,299,155,88,46,0.0009422279225856533,64,0.9559326800046309
194,2,363,242,142,92,32,0.00097845237603545,64,0.9216534973083146
193,2,422,226,149,90,30,0.000939724458542907,64,0.8838861496964361
182,5,403,215,176,59,33,0.0009295292427144046,64,0.9600119360199173
190,5,406,248,145,68,49,0.0009816135550597578,64,0.9698748768632084
197,3,338,201,148,76,28,0.0009799009144501566,64,0.9490913831889802
181,3,423,298,142,73,34,0.0009159767792788182,64,0.9705235181297811
187,4,500,272,183,72,50,0.0009473913943914387,64,0.960212938129228
185,5,403,277,159,53,28,0.000947076386793807,64,0.9636232677963039
196,5,412,251,169,57,43,0.0009488277702978037,64,0.9640586307273711
189,5,486,244,132,92,45,0.0009995789594191035,64,0.9685150480946725
199,3,339,267,113,66,25,0.0009464431281362083,64,0.9651946305665975
198,3,417,298,148,92,41,0.000979787097733425,64,0.9555616427884362
192,3,439,282,180,81,35,0.0009757475120651921,64,0.9461325150128805
191,3,462,278,166,59,26,0.0009341497180409992,64,0.9572921439348521
200,5,301,269,131,77,30,0.0009662268505834436,64,0.961817144056479
195,5,394,263,183,99,46,0.0009723249807482727,64,0.9675949509808334
