,k,k_uncert,cpu_time,runtime,fluxQ1,fluxQ2,fluxQ3,fluxQ4,fissQ1,fissQ2,fissQ3,fissQ4,fissEQ1,fissEQ2,fissEQ3,fissEQ4,flux_runcertQ1,flux_runcertQ2,flux_runcertQ3,flux_runcertQ4,fiss_runcertQ1,fiss_runcertQ2,fiss_runcertQ3,fiss_runcertQ4,fissE_runcertQ1,fissE_runcertQ2,fissE_runcertQ3,fissE_runcertQ4,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8
sample_00284,0.985972,0.00024,2.56753E+03,1.29665E+02,2.59871e+19,2.60067e+19,2.59071e+19,2.51379e+19,8.4956e+16,8.48076e+16,8.48168e+16,8.47949e+16,2753420.0,2748610.0,2748910.0,2748200.0,0.00123,0.00122,0.00129,0.00125,0.00082,0.00085,0.0008,0.00082,0.00082,0.00085,0.0008,0.00082,4.99429086,1.9198769,4.12835903,1.8605706,1.86429624,5.30880259,1.69370967,2.35490199
sample_00285,0.992985,0.00023,2.58004E+03,1.29625E+02,2.55427e+19,2.52833e+19,2.64476e+19,2.58502e+19,8.47997e+16,8.49793e+16,8.49334e+16,8.47746e+16,2748350.0,2754170.0,2752690.0,2747540.0,0.00153,0.00153,0.00152,0.00151,0.00077,0.00081,0.00077,0.00081,0.00077,0.00081,0.00077,0.00081,0.329206184,4.59153137,5.34234316,4.18726432,4.25195621,3.50889163,0.524969972,4.34957314
sample_00286,0.994677,0.00025,2.58165E+03,1.29630E+02,2.58295e+19,2.56752e+19,2.50763e+19,2.50181e+19,8.47596e+16,8.48098e+16,8.45867e+16,8.48725e+16,2747060.0,2748680.0,2741450.0,2750710.0,0.00141,0.00142,0.00135,0.00132,0.00081,0.00076,0.00082,0.00076,0.00081,0.00076,0.00082,0.00076,5.66209202,1.60020116,0.694625847,2.45574884,1.3824243,3.11510855,5.59041501,2.83192239
sample_00287,0.987267,0.00025,2.57520E+03,1.29820E+02,2.57746e+19,2.58491e+19,2.59991e+19,2.55428e+19,8.48538e+16,8.48311e+16,8.4877e+16,8.46741e+16,2750110.0,2749380.0,2750860.0,2744290.0,0.00153,0.00155,0.00159,0.00158,0.00083,0.00078,0.00079,0.00079,0.00083,0.00078,0.00079,0.00079,4.18875859,0.403594278,1.01907287,4.74594232,5.32404113,3.54796159,0.149919232,2.46398808
sample_00288,0.998115,0.00024,2.58374E+03,1.29902E+02,2.64492e+19,2.65432e+19,2.52329e+19,2.52058e+19,8.48128e+16,8.47847e+16,8.47917e+16,8.49152e+16,2748780.0,2747870.0,2748090.0,2752100.0,0.00145,0.00151,0.00151,0.00144,0.00078,0.00074,0.00075,0.00083,0.00078,0.00074,0.00075,0.00083,1.12524662,1.12540522,1.74874461,2.06411625,5.12206079,1.83663196,0.68379862,1.44907631
sample_00289,0.984322,0.00025,2.57147E+03,1.29310E+02,2.55145e+19,2.58051e+19,2.5614e+19,2.58179e+19,8.47061e+16,8.49702e+16,8.47775e+16,8.49144e+16,2745320.0,2753880.0,2747640.0,2752080.0,0.00147,0.00143,0.00149,0.00149,0.00075,0.00084,0.00083,0.0008,0.00075,0.00084,0.00083,0.0008,3.97036015,6.01028884,5.53804459,3.36965306,5.02351997,1.28400559,4.23131031,1.52975396
sample_00290,0.981825,0.00024,2.56908E+03,1.29330E+02,2.58097e+19,2.57789e+19,2.64715e+19,2.55836e+19,8.48713e+16,8.48787e+16,8.49603e+16,8.48298e+16,2750680.0,2750920.0,2753560.0,2749330.0,0.0013,0.00132,0.00129,0.00125,0.00081,0.00081,0.00081,0.00078,0.00081,0.00081,0.00081,0.00078,1.50514929,3.60580397,0.736950465,5.82915158,2.3963929,5.41792468,3.02091692,3.03206008
sample_00291,0.98982,0.00024,2.57577E+03,1.29659E+02,2.69388e+19,2.59059e+19,2.53805e+19,2.53107e+19,8.48017e+16,8.4931e+16,8.48743e+16,8.46949e+16,2748420.0,2752610.0,2750770.0,2744960.0,0.00169,0.00162,0.00158,0.00158,0.00081,0.00078,0.0008,0.00083,0.00081,0.00078,0.0008,0.00083,5.9529601,1.27912885,4.5766201,1.89701817,2.37745517,0.906407468,3.12891755,3.52069771
sample_00292,0.98822,0.00022,2.57079E+03,1.29623E+02,2.55353e+19,2.61866e+19,2.58894e+19,2.58285e+19,8.48255e+16,8.48258e+16,8.48728e+16,8.48347e+16,2749190.0,2749210.0,2750730.0,2749490.0,0.00168,0.00165,0.00167,0.00172,0.00085,0.00082,0.00081,0.00082,0.00085,0.00082,0.00081,0.00082,3.03455578,5.53179227,0.582373662,1.97010872,5.42174863,2.69217014,1.6996225,6.05379051
sample_00293,0.98589,0.00025,2.57598E+03,1.29749E+02,2.58638e+19,2.58614e+19,2.62326e+19,2.53185e+19,8.48717e+16,8.48838e+16,8.48215e+16,8.48535e+16,2750690.0,2751080.0,2749070.0,2750100.0,0.00129,0.0013,0.00129,0.00128,0.00081,0.00073,0.00079,0.00079,0.00081,0.00073,0.00079,0.00079,4.19662369,0.539103433,0.981934214,5.12609852,4.39378122,5.29700468,2.41507564,3.72499336
