,k,k_uncert,cpu_time,runtime,fluxQ1,fluxQ2,fluxQ3,fluxQ4,fissQ1,fissQ2,fissQ3,fissQ4,fissEQ1,fissEQ2,fissEQ3,fissEQ4,flux_runcertQ1,flux_runcertQ2,flux_runcertQ3,flux_runcertQ4,fiss_runcertQ1,fiss_runcertQ2,fiss_runcertQ3,fiss_runcertQ4,fissE_runcertQ1,fissE_runcertQ2,fissE_runcertQ3,fissE_runcertQ4,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8
sample_00161,0.980367,0.00024,2.56273E+03,1.28856E+02,2.56666e+19,2.54076e+19,2.55037e+19,2.52602e+19,8.48478e+16,8.48641e+16,8.48305e+16,8.48359e+16,2749920.0,2750440.0,2749360.0,2749530.0,0.00135,0.00136,0.00145,0.00143,0.00086,0.0008,0.00082,0.00079,0.00086,0.0008,0.00082,0.00079,5.92646025,3.44706851,6.02860634,4.2871741,6.09317596,5.00864428,1.40755761,3.2894194
sample_00162,0.998479,0.00024,2.59241E+03,1.30013E+02,2.53885e+19,2.51157e+19,2.52298e+19,2.57737e+19,8.48927e+16,8.48055e+16,8.49399e+16,8.48191e+16,2751370.0,2748540.0,2752900.0,2748980.0,0.0015,0.00146,0.00151,0.0015,0.00079,0.00079,0.0008,0.00076,0.00079,0.00079,0.0008,0.00076,1.92075016,1.05591258,0.11554963,2.15532712,2.96585767,6.15243227,5.04841217,5.08323157
sample_00163,0.984738,0.00025,2.56940E+03,1.29058E+02,2.52178e+19,2.50784e+19,2.65713e+19,2.58639e+19,8.48189e+16,8.4828e+16,8.49118e+16,8.48358e+16,2748980.0,2749270.0,2751990.0,2749530.0,0.00158,0.00161,0.00163,0.00157,0.0008,0.00081,0.00081,0.00075,0.0008,0.00081,0.00081,0.00075,2.66623129,4.66951601,4.83464131,5.35211084,2.09926342,4.32550451,1.90471676,5.00093589
sample_00164,0.990501,0.00024,2.57828E+03,1.29476E+02,2.6414e+19,2.51092e+19,2.48154e+19,2.56637e+19,8.48994e+16,8.4891e+16,8.48244e+16,8.49169e+16,2751590.0,2751310.0,2749160.0,2752160.0,0.00121,0.0012,0.00118,0.00117,0.00081,0.00077,0.00073,0.00076,0.00081,0.00077,0.00073,0.00076,1.30862175,0.998057181,0.231576506,0.836955087,0.356279056,2.19893289,3.71900814,4.84942853
sample_00165,0.991802,0.00025,2.57401E+03,1.29295E+02,2.56792e+19,2.65342e+19,2.57608e+19,2.5419e+19,8.48803e+16,8.48344e+16,8.48741e+16,8.4767e+16,2750970.0,2749480.0,2750770.0,2747300.0,0.00124,0.00121,0.0012,0.00123,0.00085,0.00075,0.00083,0.00077,0.00085,0.00075,0.00083,0.00077,4.10346478,6.20259808,2.72179468,3.87484105,2.66740859,2.32086995,2.47654568,0.288367747
sample_00166,0.984015,0.00026,2.56838E+03,1.29205E+02,2.57556e+19,2.58015e+19,2.59617e+19,2.53577e+19,8.477e+16,8.48497e+16,8.50211e+16,8.4865e+16,2747390.0,2749980.0,2755530.0,2750470.0,0.00145,0.0015,0.00148,0.00142,0.00079,0.00079,0.00076,0.00077,0.00079,0.00079,0.00076,0.00077,3.77350139,1.48753957,0.623064828,0.79794841,3.33345386,0.272049442,2.27169721,4.12336843
sample_00167,0.985423,0.00024,2.57219E+03,1.29478E+02,2.56504e+19,2.59917e+19,2.615e+19,2.50688e+19,8.4824e+16,8.47926e+16,8.49757e+16,8.47606e+16,2749140.0,2748130.0,2754060.0,2747090.0,0.00147,0.00149,0.00149,0.00145,0.00081,0.00077,0.0008,0.0008,0.00081,0.00077,0.0008,0.0008,3.72070859,0.43419447,2.61853689,5.44864605,4.08934969,5.70397509,2.40768718,2.91525343
sample_00168,0.993722,0.00024,2.57327E+03,1.29175E+02,2.46815e+19,2.57763e+19,2.57495e+19,2.56774e+19,8.4692e+16,8.48565e+16,8.50215e+16,8.49102e+16,2744860.0,2750190.0,2755540.0,2751940.0,0.00133,0.00134,0.00132,0.00135,0.00075,0.00079,0.00078,0.00082,0.00075,0.00079,0.00078,0.00082,3.81922146,3.70252407,1.46210747,3.77911726,1.59498604,3.89235983,0.154395387,5.19465097
sample_00169,0.986243,0.00025,2.58723E+03,1.30354E+02,2.55854e+19,2.59641e+19,2.51567e+19,2.52193e+19,8.49642e+16,8.48007e+16,8.47377e+16,8.4828e+16,2753690.0,2748390.0,2746350.0,2749270.0,0.00151,0.00147,0.00147,0.00152,0.0008,0.00078,0.00084,0.00083,0.0008,0.00078,0.00084,0.00083,4.3230851,0.194600789,2.00617603,1.10198981,1.57307295,0.0230615912,0.617387892,1.36756766
sample_00170,0.984026,0.00024,2.56527E+03,1.29010E+02,2.64513e+19,2.5945e+19,2.5285e+19,2.59413e+19,8.49353e+16,8.48965e+16,8.4781e+16,8.48419e+16,2752750.0,2751500.0,2747750.0,2749720.0,0.00174,0.00172,0.00173,0.0017,0.00076,0.00077,0.00082,0.00075,0.00076,0.00077,0.00082,0.00075,1.90165148,5.99253533,4.16470236,4.07362168,0.609524629,1.2543433,2.81454698,4.66410921
